SampleID;Tissue;Condition;donorID;Treatment;bamReads;Replicate;ControlID;Peaks;PeakCaller;SRRID
CD8Tcell_2;CD8Tcell;CD8Tcell;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CD8Tcell/atac/a60a2fd4-712c-4bac-95a9-ccf5a2bd53e5/call-filter/shard-1/execution/SRR2920497_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;CD8Tcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CD8Tcell/SRR2920497_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920497
CD8Tcell_3;CD8Tcell;CD8Tcell;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CD8Tcell/atac/a60a2fd4-712c-4bac-95a9-ccf5a2bd53e5/call-filter/shard-2/execution/SRR2920515_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;CD8Tcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CD8Tcell/SRR2920515_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920515
CD8Tcell_4;CD8Tcell;CD8Tcell;5483;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CD8Tcell/atac/a60a2fd4-712c-4bac-95a9-ccf5a2bd53e5/call-filter/shard-3/execution/SRR2920520_1.fastq.trim.srt.nodup.no_chrM_MT.bam;4;CD8Tcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CD8Tcell/SRR2920520_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920520
CD8Tcell_5;CD8Tcell;CD8Tcell;5483;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CD8Tcell/atac/a60a2fd4-712c-4bac-95a9-ccf5a2bd53e5/call-filter/shard-4/execution/SRR2920521_1.fastq.trim.srt.nodup.no_chrM_MT.bam;5;CD8Tcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CD8Tcell/SRR2920521_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920521
Mono_1;Mono;Mono;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-0/execution/SRR2920475_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920475_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920475
Mono_2;Mono;Mono;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-1/execution/SRR2920476_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920476_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920476
Mono_3;Mono;Mono;6792;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-2/execution/SRR2920487_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920487_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920487
Mono_4;Mono;Mono;6792;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-3/execution/SRR2920488_1.fastq.trim.srt.nodup.no_chrM_MT.bam;4;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920488_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920488
Mono_5;Mono;Mono;7256;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-4/execution/SRR2920542_1.fastq.trim.srt.nodup.no_chrM_MT.bam;5;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920542_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920542
Mono_6;Mono;Mono;7256;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/Mono/atac/bf31ec47-252c-4e42-bda2-fae4f6dc6cab/call-filter/shard-5/execution/SRR2920543_1.fastq.trim.srt.nodup.no_chrM_MT.bam;6;Mono;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/Mono/SRR2920543_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920543
NKcell_1;NKcell;NKcell;1022;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-0/execution/SRR2920495_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920495_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920495
NKcell_2;NKcell;NKcell;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-1/execution/SRR2920511_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920511_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920511
NKcell_3;NKcell;NKcell;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-2/execution/SRR2920512_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920512_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920512
NKcell_4;NKcell;NKcell;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-3/execution/SRR2920516_1.fastq.trim.srt.nodup.no_chrM_MT.bam;4;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920516_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920516
NKcell_5;NKcell;NKcell;5483;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-4/execution/SRR2920526_1.fastq.trim.srt.nodup.no_chrM_MT.bam;5;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920526_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920526
NKcell_6;NKcell;NKcell;5483;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/NKcell/atac/da919b8b-7e98-43f5-bbc7-c6c14fd50f04/call-filter/shard-5/execution/SRR2920527_1.fastq.trim.srt.nodup.no_chrM_MT.bam;6;NKcell;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/NKcell/SRR2920527_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920527
pDC_1;pDC;pDC;1;control;/project/scATAC_analysis/Calderon2019_data/bulk_ATAC_GSE118189_prcd_w_ENCODEpipeline/pDCs/atac/5b55dc7f-f49c-495f-8b6d-ea6c8ed108ac/call-filter/shard-0/execution/SRR7650770_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;pDC;/project/scATAC_analysis/Calderon2019_data/ENCODE_cCRE_coverage/pDC/SRR7650770_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR7650770
pDC_2;pDC;pDC;1;control;/project/scATAC_analysis/Calderon2019_data/bulk_ATAC_GSE118189_prcd_w_ENCODEpipeline/pDCs/atac/5b55dc7f-f49c-495f-8b6d-ea6c8ed108ac/call-filter/shard-1/execution/SRR7650811_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;pDC;/project/scATAC_analysis/Calderon2019_data/ENCODE_cCRE_coverage/pDC/SRR7650811_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR7650811
pDC_3;pDC;pDC;1;control;/project/scATAC_analysis/Calderon2019_data/bulk_ATAC_GSE118189_prcd_w_ENCODEpipeline/pDCs/atac/5b55dc7f-f49c-495f-8b6d-ea6c8ed108ac/call-filter/shard-2/execution/SRR7650916_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;pDC;/project/scATAC_analysis/Calderon2019_data/ENCODE_cCRE_coverage/pDC/SRR7650916_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR7650916
CLP_1;CLP;CLP;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CLP/atac/b23907d7-d482-43e3-bd25-17d752d35769/call-filter/shard-0/execution/SRR2920498_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;CLP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CLP/SRR2920498_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920498
CLP_2;CLP;CLP;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CLP/atac/b23907d7-d482-43e3-bd25-17d752d35769/call-filter/shard-1/execution/SRR2920499_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;CLP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CLP/SRR2920499_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920499
CLP_3;CLP;CLP;5483;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CLP/atac/b23907d7-d482-43e3-bd25-17d752d35769/call-filter/shard-2/execution/SRR2920522_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;CLP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CLP/SRR2920522_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920522
CLP_4;CLP;CLP;6926;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CLP/atac/b23907d7-d482-43e3-bd25-17d752d35769/call-filter/shard-3/execution/SRR2920528_1.fastq.trim.srt.nodup.no_chrM_MT.bam;4;CLP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CLP/SRR2920528_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920528
CLP_5;CLP;CLP;6926;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CLP/atac/b23907d7-d482-43e3-bd25-17d752d35769/call-filter/shard-4/execution/SRR2920545_1.fastq.trim.srt.nodup.no_chrM_MT.bam;5;CLP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CLP/SRR2920545_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920545
CMP_1;CMP;CMP;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-0/execution/SRR2920469_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920469_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920469
CMP_2;CMP;CMP;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-1/execution/SRR2920470_1.fastq.trim.srt.nodup.no_chrM_MT.bam;2;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920470_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920470
CMP_3;CMP;CMP;6792;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-2/execution/SRR2920481_1.fastq.trim.srt.nodup.no_chrM_MT.bam;3;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920481_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920481
CMP_4;CMP;CMP;6792;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-3/execution/SRR2920482_1.fastq.trim.srt.nodup.no_chrM_MT.bam;4;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920482_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920482
CMP_5;CMP;CMP;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-4/execution/SRR2920500_1.fastq.trim.srt.nodup.no_chrM_MT.bam;5;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920500_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920500
CMP_6;CMP;CMP;2596;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-5/execution/SRR2920501_1.fastq.trim.srt.nodup.no_chrM_MT.bam;6;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920501_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920501
CMP_7;CMP;CMP;7256;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-6/execution/SRR2920536_1.fastq.trim.srt.nodup.no_chrM_MT.bam;7;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920536_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920536
CMP_8;CMP;CMP;7256;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/CMP/atac/613e8363-5bd1-40cb-9e31-0f87f71d5fad/call-filter/shard-7/execution/SRR2920537_1.fastq.trim.srt.nodup.no_chrM_MT.bam;8;CMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/CMP/SRR2920537_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920537
GMP_1;GMP;GMP;4983;control;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/GSE74912_Corces2016_ENCODE_v3_processed/GMP/atac/cad03ca0-a5cf-4632-9640-f56baacd2f7c/call-filter/shard-0/execution/SRR2920471_1.fastq.trim.srt.nodup.no_chrM_MT.bam;1;GMP;/project/scATAC_analysis/10X_PBMC_analysis/AnnotationQuestion/bulk_ATAC_data/GSE74912_Corces2016/ENCODE_cCRE_coverage/GMP/SRR2920471_NOTmerged_scATAC_overlap_ENCODE_cCRE_coverage_6col.bed;bed;SRR2920471
